Organism ID	Organism Name	Accession	Name	Parent Database	Parent Accession	Parent Name	Accession Gene
11320	Influenza A virus	Q14FK1	Neuraminidase	UniProt	P03468	Neuraminidase	
11320	Influenza A virus	CDH98264.1	Nucleoprotein E4D/N5L	UniProt	P03466	Nucleoprotein	NP
11320	Influenza A virus	SRC280168	Protein PB1-F2	UniProt	P0C0U1	Protein PB1-F2	PB1
11320	Influenza A virus	ABD15623.1	PB1-F2 protein	UniProt	P0C0U1	Protein PB1-F2	PB1
11320	Influenza A virus	SRC121	Polymerase basic protein 2	UniProt	P03428	Polymerase basic protein 2	PB2
11320	Influenza A virus	Q67021	DI-3 protein	UniProt	P03428	Polymerase basic protein 2	PB2
11320	Influenza A virus	QQIVE1	hypothetical 18K protein	UniProt	P03468	Neuraminidase	
11520	Influenza B virus	SRC279975	Hemagglutinin	UniProt	P03460	Hemagglutinin	HA
12637	Dengue virus	Q6YFY9	Polyprotein	UniProt	P17763	Genome polyprotein	
12637	Dengue virus	SRC265914	Genome polyprotein	UniProt	P17763	Genome polyprotein	
12637	Dengue virus	SRC326855	Genome polyprotein	UniProt	P17763	Genome polyprotein	
12637	Dengue virus	SRC326856	Genome polyprotein	UniProt	P17763	Genome polyprotein	
12637	Dengue virus	SRC326857	Genome polyprotein	UniProt	P17763	Genome polyprotein	
694005	Murine coronavirus 	SRC265970	Nucleoprotein	UniProt	Q9PY96	Nucleoprotein	N
694005	Murine coronavirus 	SRC265971	Spike glycoprotein	UniProt	Q77NQ7	Spike glycoprotein	S
10002316	SARS-CoV1	SRC279956	Spike glycoprotein	UniProt	P59594	Spike glycoprotein	S
693997	Alphacoronavirus 1 (Alphacoronavirus-1)	SRC265980	Nucleoprotein	UniProt	P04134	Nucleoprotein	N
694014	Avian coronavirus	SRC243706	peplomeric polyprotein precursor	UniProt	P11223	Spike glycoprotein	S
470	Acinetobacter baumannii	CAM86038.1	Beta-lactamase precursor (Cephalosporinase)	UniProt	B0VR34	Carbapenem-hydrolyzing oxacillinase OXA-75 (Beta-lactamase OXA-75)	bla-OXA-75
715	Actinobacillus pleuropneumoniae	SRC248905	RTX-I toxin determinant A	UniProt	A3N292	RTX-I toxin determinant A	apxIA
272636	Adeno-associated virus	SRC279643	capsid protein VP1	UniProt	A0A1C8Z4Q6	Capsid protein	
3505	Betula pendula (white birch)	SRC268308	Major pollen allergen Bet v 1-A	UniProt	P15494	Major pollen allergen Bet v 1-A	BETVIA
246618	Bifidobacterium thermacidophilum	SRC371069	ABC transporter permease	UniProt	A0A087E8X9	ABC transporter permease	THER5_1801
520	Bordetella pertussis	SRC280066	Pertussis toxin subunit 1	UniProt	P04977	Pertussis toxin subunit 1	ptxA
29518	Borreliella afzelii	SRC269000	Outer surface protein A	UniProt	Q0SLZ0	Outer surface protein A	ospA
29518	Borreliella afzelii	SRC493055	VlsE	UniProt	G0ITS4	Outer surface protein VlsE	BafPKo_AC0020
10320	Bovine alphaherpesvirus 1 (Bovine herpesvirus 1)	ABR27301.1	glycoprotein C	UniProt	A0A0U2UTK1	Envelope glycoprotein C	UL44
10320	Bovine alphaherpesvirus 1 (Bovine herpesvirus 1)	ABR27307.1	glycoprotein C	UniProt	A0A0U2UTK1	Envelope glycoprotein C	UL44
10320	Bovine alphaherpesvirus 1 (Bovine herpesvirus 1)	CAQ51320.1	glycoprotein C	UniProt	A0A0U2UTK1	Envelope glycoprotein C	UL44
10320	Bovine alphaherpesvirus 1 (Bovine herpesvirus 1)	SRC298311	glycoprotein D	UniProt	Q76PF1	Envelope glycoprotein D	US6
10320	Bovine alphaherpesvirus 1 (Bovine herpesvirus 1)	SRC8883 	major DNA binding protein  	UniProt	A0A0U2URL4	Major DNA-binding protein	
35244	Bovine alphaherpesvirus 5 (Bovine herpesvirus 5) 	SRC279655 	envelope glycoprotein C	UniProt	Q6X256	UL44 glycoprotein C	
11660	Caprine arthritis encephalitis virus (Caprine arthritis-encephalitis virus)	SRC240152	gag protein	UniProt	C0JIG8	Gag polyprotein	
11660	Caprine arthritis encephalitis virus (Caprine arthritis-encephalitis virus)	SRC280076 	envelope polyprotein	UniProt	C0JIH2	Env polyprotein	
1821749	Cardiovirus A	SRC276221	Genome polyprotein	UniProt	Q66765	Genome polyprotein	
1821750	Cardiovirus B	SRC280084	Genome polyprotein	UniProt	P08545	Genome polyprotein	
10141	Cavia porcellus (guinea pig)	SRC265965	Myelin basic protein	UniProt	P25188	Myelin basic protein	MBP
10141	Cavia porcellus (guinea pig)	SRC336920	sperad	UniProt	Q9QZK1	Sperad-7	
37124	Chikungunya virus	SRC522219	nonstructural polyprotein	UniProt	Q8JUX6	Polyprotein P1234	
85991	Chlamydia pecorum	ACA64207.1	inclusion membrane protein IncA	UniProt	V8TKU1	Inclusion membrane protein A	CpecF_0824
85991	Chlamydia pecorum	ACA64211.1	inclusion membrane protein IncA	UniProt	V8TKU1	Inclusion membrane protein A	CpecF_0824
85991	Chlamydia pecorum	ACA64214.1	inclusion membrane protein IncA	UniProt	V8TKU1	Inclusion membrane protein A	CpecF_0824
85991	Chlamydia pecorum	ACA64221.1	inclusion membrane protein IncA	UniProt	V8TKU1	Inclusion membrane protein A	CpecF_0824
85991	Chlamydia pecorum	ACA64222.1	inclusion membrane protein IncA	UniProt	V8TKU1	Inclusion membrane protein A	CpecF_0824
85991	Chlamydia pecorum	ACA64224.1	inclusion membrane protein IncA	UniProt	V8TKU1	Inclusion membrane protein A	CpecF_0824
85991	Chlamydia pecorum	ACH42153.1	inclusion membrane protein A	UniProt	V8TKU1	Inclusion membrane protein A	CpecF_0824
85991	Chlamydia pecorum	ADB92481.1	inclusion membrane protein A, partial	UniProt	V8TKU1	Inclusion membrane protein A	CpecF_0824
85991	Chlamydia pecorum	ADB92484.1	inclusion membrane protein A, partial	UniProt	V8TKU1	Inclusion membrane protein A	CpecF_0824
85991	Chlamydia pecorum	ADB92485.1	inclusion membrane protein A, partial	UniProt	V8TKU1	Inclusion membrane protein A	CpecF_0824
85991	Chlamydia pecorum	ADB92486.1	inclusion membrane protein A, partial	UniProt	V8TKU1	Inclusion membrane protein A	CpecF_0824
85991	Chlamydia pecorum	ADB92487.1	inclusion membrane protein A, partial	UniProt	V8TKU1	Inclusion membrane protein A	CpecF_0824
85991	Chlamydia pecorum	ADB92489.1	inclusion membrane protein A, partial	UniProt	V8TKU1	Inclusion membrane protein A	CpecF_0824
85991	Chlamydia pecorum	WP_021756698.1	inclusion membrane protein A	UniProt	V8TKU1	Inclusion membrane protein A	CpecF_0824
813	Chlamydia trachomatis 	AAB34696.1	major outer membrane protein	UniProt	Q46409	Major outer membrane porin, serovar D	ompA
813	Chlamydia trachomatis 	Q02281.4	Histone H1-like protein Hc1	UniProt	P0CE15	Histone H1-like protein Hc1	hctA
138948	Enterovirus A (Coxsackievirus A)	SRC292625	polyprotein	UniProt	A0A0M3PZA5	Genome polyprotein	
138949	Enterovirus B (Enterovirus EV-B)	SRC276220	Genome polyprotein	UniProt	Q86887	Genome polyprotein	
138950	Enterovirus C (Enterovirus EV-C) 	SRC265977	Genome polyprotein	UniProt	P03300	Genome polyprotein	
11673	Feline immunodeficiency virus (feline immunodeficiency virus FIV)	AAQ11407.1	envelope protein	UniProt	Q66014	Env protein	env
11673	Feline immunodeficiency virus (feline immunodeficiency virus FIV)	ABO27589.1	envelope glycoprotein	UniProt	Q66014	Env protein	env
11673	Feline immunodeficiency virus (feline immunodeficiency virus FIV)	P16090.2	Envelope glycoprotein gp150	UniProt	Q66014	Env protein	env
11673	Feline immunodeficiency virus (feline immunodeficiency virus FIV)	P87682	Envelope glycoprotein	UniProt	Q66014	Env protein	env
11673	Feline immunodeficiency virus (feline immunodeficiency virus FIV)	Q04993.1	Envelope glycoprotein gp150	UniProt	Q66014	Env protein	env
11673	Feline immunodeficiency virus (feline immunodeficiency virus FIV)	Q05312.1	Envelope glycoprotein gp150	UniProt	Q66014	Env protein	env
11673	Feline immunodeficiency virus (feline immunodeficiency virus FIV)	SRC26410	envelope polyprotein	UniProt	Q66014	Env protein	env
11768	Feline leukemia virus (Feline leukemia provirus)	SRC279970	Env polyprotein	UniProt	O89812	Env gene polyprotein	env
2499678	Gammaarterivirus lacdeh	SRC241223	major structural glycoprotein GP5	UniProt	Q83019	Minor structural glycoprotein	
3847	Glycine max (soybeans)	SRC280655	P34 probable thiol protease	UniProt	P22895	P34 probable thiol protease	
45219	Guanarito mammarenavirus (Guanarito arenavirus)	SRC280049	Nucleoprotein	UniProt	Q8AZ66	Nucleoprotein	N
45219	Guanarito mammarenavirus (Guanarito arenavirus)	SRC280209	Pre-glycoprotein polyprotein GP complex	UniProt	Q8AYW1	Pre-glycoprotein polyprotein GP complex	GPC
3052230	Hepatitis C virus	SRC280504	polyprotein	UniProt	P27958	Genome polyprotein	
10002316	SARS-CoV1	SRC265912	Replicase polyprotein 1ab	UniProt	P0C6X7	Replicase polyprotein 1ab	rep
2697049	SARS-CoV2	SRC554256	ORF7a	UniProt	P0DTC7	ORF7a protein	7a
2697049	SARS-CoV2	SRC554257	replicase polyprotein 1ab	UniProt	P0DTD1	Replicase polyprotein 1ab	rep
10002316	SARS-CoV1	SRC280017	Uncharacterized protein 14	UniProt	Q7TLC7	Uncharacterized protein 14	ORF14
10002316	SARS-CoV1	SRC280069	Membrane protein	UniProt	P59596	Membrane protein	M
10002316	SARS-CoV1	SRC280277	Nucleoprotein	UniProt	P59595	Nucleoprotein	N
10002316	SARS-CoV1	SRC280288	Envelope small membrane protein	UniProt	P59637	Envelope small membrane protein	E
2697049	SARS-CoV2	SRC558393	surface glycoprotein	UniProt	P0DTC2	Spike glycoprotein	S
2697049	SARS-CoV2	SRC558394	Nucleoprotein	UniProt	P0DTC9	Nucleoprotein	N
2697049	SARS-CoV2	SRC562680	Membrane glycoprotein	UniProt	P0DTC5	Membrane protein	M
10497	African swine fever virus (African swine fever virus ASF)	SRC280213	Major capsid protein	UniProt	P22776	Major capsid protein	Ba71V-081
10497	African swine fever virus (African swine fever virus ASF)	SRC454574	C-type lectin like protein	UniProt	Q65150 	Lectin-like protein EP153R	
239935	Akkermansia muciniphila	SRC543258	sugar MFS transporter	UniProt	B2UN40	L-fucose transporter	Amuc_1833
28446	Anaerotignum propionicum	SRC543254	homocysteine S-methyltransferase	UniProt	A0A0X8VCJ8	Homocysteine S-methyltransferase	mmuM
63363	Aquifex aeolicus	SRC549212	2-oxoacid:acceptor oxidoreductase	UniProt	O66529	6,7-dimethyl-8-ribityllumazine synthase	ribH
2560319	Avian orthoavulavirus 1	SRC446379	non-structural V protein	UniProt	P0C765	protein V	V
2560319	Avian orthoavulavirus 1	SRC493047	matrix protein 	UniProt	Q9DLD5	Matrix protein	M
5865	Babesia bovis	SRC269143	12D3 antigen	UniProt	A7ARK0	12D3 antigen	BBOV_IV008150
5865	Babesia bovis	SRC269144	Small heat shock protein	UniProt	A7ATV2	Small heat shock protein	BBOV_II004080
1390	Bacillus amyloliquefaciens	SRC269137	Extracellular alkaline serine protease	UniProt	A0A0F7CA45	Subtilisin	E3U39_03635
1423	Bacillus subtilis	SRC280651	ABC transporter (ATP-binding protein)	UniProt	O07605	Proton/sodium-glutamate symport protein	gltT
1423	Bacillus subtilis	SRC420289	pectate lyase	UniProt	P39116	Pectate lyase	pel
29518	Borreliella afzelii	SRC370443	outer surface protein C	UniProt	Q0SL36	Lipofamily protein	ospC
139	Borreliella burgdorferi (Lyme disease spirochete)	SRC280646	membrane protein A	UniProt	Q45010	Basic membrane protein A	bmpA
9913	Bos taurus (bovine)	SRC250680	apolipoprotein B	UniProt	E1BNR0	Apolipoprotein B	APOB
9913	Bos taurus (bovine)	SRC265964	Collagen alpha-1(IV) chain	UniProt	Q7SIB2	Collagen alpha-1(IV) chain	COL4A1
9913	Bos taurus (bovine)	SRC269019	Serotransferrin	UniProt	Q29443	Serotransferrin	TF
9913	Bos taurus (bovine)	SRC279954	Collagen alpha-2(IV) chain	UniProt	A0A3Q1LLV2	Collagen alpha-2(IV) chain	COL4A2
9913	Bos taurus (bovine)	SRC279993	Rhodopsin	UniProt	P02699	Rhodopsin	RHO
9913	Bos taurus (bovine)	SRC280007	Myelin protein P0	UniProt	P10522	Myelin protein P0	MPZ
9913	Bos taurus (bovine)	SRC280046	S-arrestin	UniProt	P08168	S-arrestin	SAG
9913	Bos taurus (bovine)	SRC280063	Insulin	UniProt	P01317	Insulin	INS
9913	Bos taurus (bovine)	SRC280103	Butyrophilin subfamily 1 member A1	UniProt	P18892	Butyrophilin subfamily 1 member A1	BTN1A1
9913	Bos taurus (bovine)	SRC280143	Retinol-binding protein 3	UniProt	P12661	Retinol-binding protein 3	RBP3
9913	Bos taurus (bovine)	SRC280294	Recoverin	UniProt	P21457	Recoverin	RCVRN
9913	Bos taurus (bovine)	SRC280652	thyrotropin subunit beta precursor	UniProt	P01223	Thyrotropin subunit beta	TSHB
9913	Bos taurus (bovine)	SRC293733	Carbonic anhydrase 2	UniProt	P00921	Carbonic anhydrase 2	CA2
9913	Bos taurus (bovine)	SRC337395	Alpha-2-HS-glycoprotein	UniProt	P12763	Alpha-2-HS-glycoprotein	AHSG
9913	Bos taurus (bovine)	SRC432721	retinoid isomerohydrolase isoform X1	UniProt	Q28175	Retinoid isomerohydrolase	RPE65
11901	Bovine leukemia virus (bovine leukemia virus BLV)	SRC243836	env polyprotein	UniProt	Q77YG2	env polyprotein	env
11246	Bovine orthopneumovirus (bovine respiratory syncytial virus BRSV)	SRC473475	fusion glycoprotein	UniProt	P29791	Fusion glycoprotein F0	F
11099	Bovine viral diarrhea virus 1 (Bovine viral diarrhea virus-1)	SRC268301	Genome polyprotein	UniProt	P19711	Genome polyprotein	
6279	Brugia malayi (agent of lymphatic filariasis)	SRC351609	Abundant larval transcript-2	UniProt	A0A1S0QIA0	Abundant larval transcript-2 (ALT2) protein	bma-alt-2
28450	Burkholderia pseudomallei	SRC280507	hypothetical protein BURPS668_0137	UniProt	Q63MZ2	DJ-1/PfpI family protein	BPSS0506
28450	Burkholderia pseudomallei	SRC298196	DUF5594 domain-containing protein	UniProt	Q63X74	DUF5594 domain-containing protein	gloA
28450	Burkholderia pseudomallei	SRC304811	alkyl hydroperoxide reductase	UniProt	Q63T73	Alkyl hydroperoxide reductase C	BPSL2096
5476	Candida albicans	SRC269002	Inositol phosphorylceramide synthase	UniProt	O13332	Inositol phosphorylceramide synthase	AUR1
5476	Candida albicans	SRC269003	Candidapepsin-2	UniProt	P0DJ06	Candidapepsin-2	SAP2
5476	Candida albicans	SRC536882	DNA translocase	UniProt	Q5A310	ISWI chromatin-remodeling complex ATPase ISW2	ISW2
11232	Canine morbillivirus (canine distemper virus CDV)	SRC410288	nucleocapsid protein	UniProt	P04865	Nucleoprotein	N
9615	Canis lupus familiaris (dogs)	SRC310070	lysine-specific demethylase 5D	UniProt	Q30DN6	Lysine-specific demethylase 5D	KDM5D
9615	Canis lupus familiaris (dogs)	SRC310071	Sex-determining region Y protein	UniProt	Q9XT60	Sex-determining region Y protein	SRY
33706	Caviid betaherpesvirus 2 (Caviid herpesvirus 2)	SRC282765	GP83	UniProt	U6H6S1	GP83	
37124	Chikungunya virus	SRC268297	Structural polyprotein	UniProt	Q8JUX5	Structural polyprotein	
1513	Clostridium tetani	SRC265911	Tetanus toxin	UniProt	P04958	Tetanus toxin	tetX
8932	Columba livia (carrier pigeon)	SRC269008	Cytochrome c	UniProt	A0A2I0MQ77	Cytochrome c	A306_00002661
1717	Corynebacterium diphtheriae	SRC280292	Diphtheria toxin	UniProt	Q6NK15	Diphtheria toxin	tox
777	Coxiella burnetii	SRC265239	LemA family protein	UniProt	Q83DZ3	LemA	lemA
777	Coxiella burnetii	SRC265240	phosphohydrolase family protein	UniProt	Q83C26	Phosphohydrolase family protein	CBU_1308
777	Coxiella burnetii	SRC265241	UDP-glucose 4-epimerase	UniProt	H7C7E7	UDP-glucose 4-epimerase	CBU_0676
777	Coxiella burnetii	SRC265242	two component system histidine kinase	UniProt	Q83AW7	Histidine kinase	CBU_1761
777	Coxiella burnetii	SRC265245	aspartokinase	UniProt	Q83CQ7	Aspartokinase	CBU_1051
777	Coxiella burnetii	SRC265246	glycerophosphoryl diester phosphodiesterase	UniProt	Q83DQ4	Glycerophosphoryl diester phosphodiesterase	CBU_0642
777	Coxiella burnetii	SRC265247	nicotinate phosphoribosyltransferase	UniProt	Q83CS0	Nicotinate phosphoribosyltransferase	CBU_1035
777	Coxiella burnetii	SRC265250	hydroxymethylpyrimidine kinase	UniProt	Q83EI6	Thiamine-phosphate synthase	thiDE
777	Coxiella burnetii	SRC265251	2-dehydro-3-deoxygluconokinase	UniProt	Q83CA5	2-dehydro-3-deoxygluconokinase	kdgK
777	Coxiella burnetii	SRC265252	lysyl-tRNA synthetase	UniProt	Q83AR3	Lysyl-tRNA synthetase	CBU_1817
777	Coxiella burnetii	SRC265253	NAD-glutamate dehydrogenase	UniProt	Q83CA2	Glutamate dehydrogenase	CBU_1226
777	Coxiella burnetii	SRC265254	IcmK	UniProt	Q83B85	IcmK	icmK
777	Coxiella burnetii	SRC265949	2-dehydro-3-deoxyphosphooctonate aldolase	UniProt	Q83B43	2-dehydro-3-deoxyphosphooctonate aldolase	kdsA
777	Coxiella burnetii	SRC265950	Peptide chain release factor 3	UniProt	Q83DC7	Peptide chain release factor 3	prfC
777	Coxiella burnetii	SRC265951	Trigger factor	UniProt	Q83DJ3	Trigger factor	tig
777	Coxiella burnetii	SRC265952	Phosphoserine aminotransferase	UniProt	Q83E12	Phosphoserine aminotransferase	serC
777	Coxiella burnetii	SRC265953	50S ribosomal protein L16	UniProt	Q83ER9	50S ribosomal protein L16	rplP
777	Coxiella burnetii	SRC279955	Hypothetical protein	UniProt	Q83A86	Hypothetical ATPase	CBU_2021
777	Coxiella burnetii	SRC280099	DNA-binding protein, putative	UniProt	H7C7G0	Putative DNA-binding protein	CBUA0027
777	Coxiella burnetii	SRC280196	DNA topoisomerase I	UniProt	Q83AA5	DNA topoisomerase 1	topA
777	Coxiella burnetii	SRC280200	Transcription-repair coupling factor	UniProt	Q83CG9	Transcription-repair-coupling factor	mfd
777	Coxiella burnetii	SRC280237	Ribonucleoside-diphosphate reductase, alpha subunit	UniProt	Q83BF5	Ribonucleoside-diphosphate reductase subunit beta	nrdB
777	Coxiella burnetii	SRC280251	Outer membrane protein TolC, putative	UniProt	Q83EL2	Outer membrane protein	CBU_0307
777	Coxiella burnetii	SRC280268	Peptide ABC transporter, permease protein, putative	UniProt	Q83AM6	Oligopeptide transport ATP-binding protein	oppD
7227	Drosophila melanogaster (fruit fly)	SRC6421	Drosocrystallin	UniProt	Q9VKE2	Crystallin, isoform A	Crys
12639	Duck hepatitis B virus (duck hepatitis virus, DHBV)	SRC265979	Large envelope protein	UniProt	Q66405	Large envelope protein	S
1570291	Ebola virus (Ebola)	SRC279990	Minor nucleoprotein VP30	UniProt	Q05323	Transcriptional activator VP30	VP30
1570291	Ebola virus (Ebola)	SRC280014	Polymerase cofactor VP35	UniProt	Q05127	Polymerase cofactor VP35	VP35
1570291	Ebola virus (Ebola)	SRC280031	Envelope glycoprotein	UniProt	Q05320	Envelope glycoprotein	GP
1570291	Ebola virus (Ebola)	SRC280077	Matrix protein VP40	UniProt	Q05128	Matrix protein VP40	VP40
5801	Eimeria acervulina	SRC244398	MA16	UniProt	U6GB67	Splicing factor U2AF-associated protein, related, putative	EAH_00018340
5759	Entamoeba histolytica	SRC15988	170 kDa surface lectin	UniProt	P32022	Galactose-inhibitable lectin 170 kDa subunit	hgl1
11665	Equine infectious anemia virus (equine infectious anemia virus EIAV)	SRC1219	gag protein	UniProt	P69732	Gag polyprotein	gag
562	Escherichia coli	SRC272	Beta-galactosidase	UniProt	P00722	Beta-galactosidase	lacZ
562	Escherichia coli	SRC279991	Lactose permease	UniProt	P02920	Lactose permease	lacY
562	Escherichia coli	SRC280176	60 kDa chaperonin	UniProt	P0A6F5	60 kDa chaperonin	groEL
562	Escherichia coli	SRC280219	Outer membrane protein A	UniProt	P0A910	Outer membrane protein A	ompA
97253	Eubacterium plexicaudatum	SRC543255	PrgI family protein	UniProt	N2A8Y4	Uncharacterised protein similar to PrgI family protein	C823_02693
6192	Fasciola hepatica (liver fluke)	SRC269006	Cathepsin L-like proteinase	UniProt	A0A4E0R7V4	Cathepsin L	D915_005388
11673	Feline immunodeficiency virus (feline immunodeficiency virus FIV)	SRC26383	hypothetical protein FIVgp4 [Feline immunodeficiency virus]	UniProt	Q66013	Probable Vpr-like protein	
11673	Feline immunodeficiency virus (feline immunodeficiency virus FIV)	SRC276215	pol polyprotein	UniProt	P16088	Pol polyprotein	pol
11673	Feline immunodeficiency virus (feline immunodeficiency virus FIV)	SRC280147	gag protein	UniProt	P16087	Gag polyprotein	gag
9031	Gallus gallus (chicken)	SRC279644	108K heat shock protein	UniProt	P08110	Endoplasmin	HSP90B1
9031	Gallus gallus (chicken)	SRC280096	GTPase NRas	UniProt	Q5F352	GTPase NRas	NRAS
9031	Gallus gallus (chicken)	SRC280184	Histone H5	UniProt	P02259	Histone H5	
9031	Gallus gallus (chicken)	SRC301162	rho-related GTP-binding protein RhoB	UniProt	O93468	GTP-binding protein	cRhoB
9031	Gallus gallus (chicken)	SRC536939	integrin beta-1	UniProt	P07228	Integrin beta-1	ITGB1
7394	Glossina morsitans (tsetse fly)	SRC265940	antigen 5	UniProt	A0A1B0FGN7	Antigen-5 precursor	
727	Haemophilus influenzae	SRC547747	Integration host factor subunit beta	UniProt	P43724	Integration host factor subunit beta	ihfB
1980471	Hantaan orthohantavirus (Hantaan hantavirus)	SRC280027	RNA-directed RNA polymerase L	UniProt	P23456	RNA-directed RNA polymerase L	L
123841	Helicobacter canadensis	SRC553154	Glutathionylspermidine synthase	UniProt	C5ZXJ6	Glutathionylspermidine synthase	HCAN_1153
210	Helicobacter pylori	SRC325904	catalase	UniProt	P77872	Catalase	katA
10407	Hepatitis B virus (hepatitis B virus (HBV))	SRC279965	Large envelope protein	UniProt	Q76R62	Large envelope protein	S
10407	Hepatitis B virus (hepatitis B virus (HBV))	SRC279980	External core antigen	UniProt	P0C767	External core antigen	C
10407	Hepatitis B virus (hepatitis B virus (HBV))	SRC279982	Protein P	UniProt	Q69028	Protein P	P
10407	Hepatitis B virus (hepatitis B virus (HBV))	SRC279984	Protein X	UniProt	Q69027	Protein X	X
10407	Hepatitis B virus (hepatitis B virus (HBV))	SRC485087	large S protein	UniProt	Q76R62	Large envelope protein	S
10407	Hepatitis B virus (hepatitis B virus (HBV))	SRC506611	polymerase	UniProt	Q69028	Protein P	P
11103	Hepatitis C virus	SRC280102	F protein	UniProt	P0C045	F protein	
12475	Hepatitis delta virus (hepatitis delta virus HDV)	SRC437424	large hepatitis delta antigen	UniProt	P29996	Large delta antigen	
9606	Homo sapiens	SRC557940	heterogeneous nuclear ribonucleoprotein A1	UniProt	P09651	Heterogeneous nuclear ribonucleoprotein A1	HNRNPA1
9606	Homo sapiens (human)	SRC244411	protein tyrosine phosphatase-like autoantigen	UniProt	Q92932	Receptor-type tyrosine-protein phosphatase N2	PTPRN2
9606	Homo sapiens (human)	SRC245303	glycophorin B MNS blood group	UniProt	E7ERJ5	Glycophorin-B	GYPB
9606	Homo sapiens (human)	SRC245697	ABCG2 protein	UniProt	Q9UNQ0	Broad substrate specificity ATP-binding cassette transporter ABCG2	ABCG2
9606	Homo sapiens (human)	SRC248227	65 kDa heat shock protein	UniProt	P10809	60 kDa heat shock protein, mitochondrial	HSPD1
9606	Homo sapiens (human)	SRC248271	S antigen	UniProt	P10523	S-arrestin	SAG
9606	Homo sapiens (human)	SRC250677	RAS p21 protein activator 2	UniProt	Q15283	ras GTPase-activating protein 2	RASA2
9606	Homo sapiens (human)	SRC250679	dynein	UniProt	Q9C0G6	Dynein heavy chain 6, axonemal	DNAH6
9606	Homo sapiens (human)	SRC250681	hCG1746041, isoform CRA_b	UniProt	Q7Z6I8	UPF0461 protein C5orf24	C5orf24
9606	Homo sapiens (human)	SRC250682	transmembrane protein 16H, isoform CRA_b	UniProt	Q9HCE9	anoctamin-8	ANO8
9606	Homo sapiens (human)	SRC250685	NIMA-related kinase 11L	UniProt	Q8NG66	NIMA-related kinase 11L	NEK11
9606	Homo sapiens (human)	SRC251884	interferon (alpha, beta and omega) receptor 1	UniProt	P17181	Interferon alpha/beta receptor 1	IFNAR1
9606	Homo sapiens (human)	SRC252139	follicle-stimulating hormone	UniProt	P01225	Follitropin subunit beta	FSHB
9606	Homo sapiens (human)	SRC257836	Bruton agammaglobulinemia tyrosine kinase	UniProt	Q06187	Tyrosine	BTK
9606	Homo sapiens (human)	SRC258537	interleukin 2 receptor	UniProt	P31785	Cytokine receptor common subunit gamma	IL2RG
9606	Homo sapiens (human)	SRC258541	voltage-gated potassium channel subunit beta-2	UniProt	Q13303	Voltage-gated potassium channel subunit beta-2	KCNAB2
9606	Homo sapiens (human)	SRC263528	heart alpha-kinase	UniProt	Q86TB3	Alpha-protein kinase 2	ALPK2
9606	Homo sapiens (human)	SRC263846	ADIR	UniProt	Q9H497	Torsin-3A	TOR3A
9606	Homo sapiens (human)	SRC265345	protein-arginine deiminase	UniProt	Q9UM07	Protein-arginine deiminase type-4	PADI4
9606	Homo sapiens (human)	SRC269170	cell division cycle 26 homolog	UniProt	Q8NHZ8	Anaphase-promoting complex subunit CDC26	CDC26
9606	Homo sapiens (human)	SRC279659	minor histocompatibility protein HB-1	UniProt	O97980	Minor histocompatibility protein HB-1	HMHB1
9606	Homo sapiens (human)	SRC280511	apolipoprotein(a) precursor	UniProt	P02647	Apolipoprotein A-I	APOA1
9606	Homo sapiens (human)	SRC280637	bullous pemphigoid antigen	UniProt	O43815	striatin	STRN
9606	Homo sapiens (human)	SRC288573	Dermokine-delta 4	UniProt	Q6E0U4	Dermokine	DMKN
9606	Homo sapiens (human)	SRC290487	alpha-1A-adrenergic receptor	UniProt	P25100	Alpha-1D adrenergic receptor	ADRA1D
9606	Homo sapiens (human)	SRC291027	90 kDa protein	UniProt	P0C263	serine/threonine-protein kinase SBK2	SBK2
9606	Homo sapiens (human)	SRC291028	Similar to Acidic ribosomal phosphoprotein P0	UniProt	F8VU65	60S acidic ribosomal protein P0	RPLP0
9606	Homo sapiens (human)	SRC291030	17 kDa protein	UniProt	Q5TGJ6	Hepatoma-derived growth factor-like protein 1	HDGFL1
9606	Homo sapiens (human)	SRC291031	13 kDa protein	UniProt	P60866	40S ribosomal protein S20	RPS20
9606	Homo sapiens (human)	SRC291033	similar to armadillo repeat containing 4	UniProt	Q8N6G6	ADAMTS-like protein 1	ADAMTSL1
9606	Homo sapiens (human)	SRC291034	Similar to Tyrosine-protein phosphatase non-receptor type 1	UniProt	P52954	Transcription factor LBX1	LBX1
9606	Homo sapiens (human)	SRC291035	Pseudogene candidate	UniProt	Q99758	phospholipid-transporting ATPase ABCA3	ABCA3
9606	Homo sapiens (human)	SRC292633	eukaryotic translation initiation factor 1	UniProt	O14602	Eukaryotic translation initiation factor 1A, Y-chromosomal	EIF1AY
9606	Homo sapiens (human)	SRC298313	proteasome subunit C5	UniProt	P20618	Proteasome subunit beta type-1	PSMB1
9606	Homo sapiens (human)	SRC301051	Rho GDP dissociation inhibitor	UniProt	P52566	Rho GDP-dissociation inhibitor 2	ARHGDIB
9606	Homo sapiens (human)	SRC301255	translocon-associated protein	UniProt	P43308	Translocon-associated protein subunit beta	SSR2
9606	Homo sapiens (human)	SRC320360	keratin 8	UniProt	P05787	Keratin, type II cytoskeletal 8	KRT8
9606	Homo sapiens (human)	SRC320362	hCG1811882	UniProt	Q15772	Striated muscle preferentially expressed protein kinase	SPEG
