Species Key	Species ID	Species Label	Active Taxa	Group	Proteome Type	Proteome ID	Proteome Organism ID	Proteome Label	Proteome Link	Updated
5801-Eimeria-acervulina	5801	Eimeria acervulina	5801	other-eukaryote	Reference	UP000018050	5801	Eimeria acervulina (Coccidian parasite) (Strain: Houghton)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000018050	2023-07-14
5802-Eimeria-tenella	5802	Eimeria tenella	5802	other-eukaryote	Reference	UP000030747	5802	Eimeria tenella (Coccidian parasite) (Strain: Houghton)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000030747	2023-07-14
5807-Cryptosporidium-parvum	5807	Cryptosporidium parvum	5807, 353152	other-eukaryote	Reference	UP000006726	353152	Cryptosporidium parvum (strain Iowa II) (Strain: Iowa II)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000006726	2023-07-14
5811-Toxoplasma-gondii	5811	Toxoplasma gondii	5811, 383379, 398031, 432359, 507601, 508771, 933077, 935652, 943118, 943119, 943122, 1073826, 1073831, 1074873, 1080348, 1130820, 1209523, 1209525, 10000353, 10000354, 10000355, 10002052	other-eukaryote	Reference	UP000002437	5811	Toxoplasma gondii (Strain: RH)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000002437	2023-07-14
5814-Sarcocystis-gigantea	5814	Sarcocystis gigantea	5814	other-eukaryote					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:5814	2023-09-01
5821-Plasmodium-berghei	5821	Plasmodium berghei	5821, 5823, 10000356	other-eukaryote	Reference	UP000074855	5823	Plasmodium berghei (strain Anka) (Strain: ANKA)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000074855	2023-07-14
5824-Plasmodium-brasilianum	5824	Plasmodium brasilianum	5824	other-eukaryote	Orphans		5824	Plasmodium brasilianum	https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:5824	2023-09-01
5825-Plasmodium-chabaudi	5825	Plasmodium chabaudi	5825, 5826, 31271, 10000357	other-eukaryote	Non-Redundant	UP000195879	5826	Plasmodium chabaudi adami (Strain: DK)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000195879	2023-07-14
5827-Plasmodium-cynomolgi	5827	Plasmodium cynomolgi	5827, 5828	other-eukaryote	Reference	UP000006319	1120755	Plasmodium cynomolgi (strain B) (Strain: B)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000006319	2023-07-14
5833-Plasmodium-falciparum-malaria-parasite-P-falciparum	5833	Plasmodium falciparum (malaria parasite P. falciparum)	5833, 5834, 5835, 5836, 5837, 5838, 5839, 5840, 5841, 5842, 5843, 5846, 5848, 36329, 57266, 57267, 57270, 70152, 137071, 478859, 478861, 478862, 580058, 580059, 1036723, 1036724, 1036727, 1237627, 10000358, 10000360, 10000361, 10000362, 10000363, 10000366, 10000369, 10000370, 10000371, 10000373, 10000375, 10000376, 10000816, 10002007, 10002008, 10002009, 10002011	other-eukaryote	Reference	UP000001450		Plasmodium falciparum (isolate 3D7) (Strain: Isolate 3D7)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000001450	2023-07-14
5849-Plasmodium-gallinaceum	5849	Plasmodium gallinaceum	5849	other-eukaryote					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:5849	2023-09-01
5850-Plasmodium-knowlesi	5850	Plasmodium knowlesi	5850, 5851, 5852	other-eukaryote	Reference	UP000031513		Plasmodium knowlesi (strain H) (Strain: H)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000031513	2023-07-14
5854-Plasmodium-reichenowi	5854	Plasmodium reichenowi	5854	other-eukaryote					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:5854	2023-09-01
5855-Plasmodium-vivax-malaria-parasite-P-vivax	5855	Plasmodium vivax (malaria parasite P. vivax)	5855, 31273, 126793, 1033975, 1035514, 1035515, 1077284, 10000378, 10000862, 10002558	other-eukaryote	Reference	UP000008333		Plasmodium vivax (strain Salvador I) (Strain: Salvador I)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000008333	2023-07-14
5857-Plasmodium-fragile	5857	Plasmodium fragile	5857	other-eukaryote	Non-Redundant	UP000054561		Plasmodium fragile (Strain: nilgiri)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000054561	2023-07-14
5858-Plasmodium-malariae	5858	Plasmodium malariae	5858	other-eukaryote	Reference	UP000219813		Plasmodium malariae	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000219813	2023-07-14
5861-Plasmodium-yoelii	5861	Plasmodium yoelii	5861, 31274, 73239, 352914, 1050262, 1323249, 10000381, 10000555	other-eukaryote	Reference	UP000008553		Plasmodium yoelii yoelii (Strain: 17XNL)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000008553	2023-07-14
5865-Babesia-bovis	5865	Babesia bovis	5865, 484906, 10000382, 10000383, 10001459	other-eukaryote	Reference	UP000002173		Babesia bovis (Strain: T2Bo)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000002173	2023-07-14
5866-Babesia-bigemina	5866	Babesia bigemina	5866	other-eukaryote	Reference	UP000033188		Babesia bigemina (Strain: Bond)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000033188	2023-07-14
5867-Babesia-canis	5867	Babesia canis	5867	other-eukaryote					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:5867	2023-09-01
5868-Babesia-microti	5868	Babesia microti	5868, 1133968	other-eukaryote	Reference	UP000002899		Babesia microti (strain RI) (Strain: RI)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000002899	2023-07-14
5872-Theileria-equi	5872	Theileria equi	5872	other-eukaryote	Reference	UP000031512		Theileria equi strain WA (Strain: WA)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000031512	2023-07-14
5874-Theileria-annulata	5874	Theileria annulata	5874, 353154	other-eukaryote	Reference	UP000001950		Theileria annulata (Strain: Ankara)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000001950	2023-07-14
5875-Theileria-parva	5875	Theileria parva	5875, 333668, 1148489, 1148490, 10001243	other-eukaryote	Reference	UP000001949		Theileria parva (East coast fever infection agent) (Strain: Muguga)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000001949	2023-07-14
5877-Theileria-sergenti	5877	Theileria sergenti	5877, 10000848, 10000849, 10000850, 10000851	other-eukaryote	Unreviewed	Unrev_5877		Theileria sergenti	https://rest.uniprot.org/uniprotkb/search?query=taxonomy:5877	2023-07-14
5885-Paramecium-caudatum	5885	Paramecium caudatum	5885	other-eukaryote					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:5885	2023-09-01
5911-Tetrahymena-thermophila	5911	Tetrahymena thermophila	312017	other-eukaryote					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:5911	2023-09-01
5970-Exophiala-dermatitidis	5970	Exophiala dermatitidis	5970, 858893	other-eukaryote	Reference	UP000007304		Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis) (Strain: ATCC 34100 / CBS 525.76 / NIH/UT8656)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000007304	2023-07-14
6035-Encephalitozoon-cuniculi	6035	Encephalitozoon cuniculi	6035, 284813	other-eukaryote	Reference	UP000000819		Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite) (Strain: GB-M1)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000000819	2023-07-14
6100-Aequorea-victoria	6100	Aequorea victoria	6100	other-eukaryote	Orphans		6100	Aequorea victoria	https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6100	2023-09-01
6182-Schistosoma-japonicum	6182	Schistosoma japonicum	6182	other-eukaryote	Reference	UP000311919		Schistosoma japonicum (Blood fluke)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000311919	2023-07-14
6183-Schistosoma-mansoni	6183	Schistosoma mansoni	6183, 10000385	other-eukaryote	Reference	UP000008854		Schistosoma mansoni (Blood fluke) (Strain: Puerto Rican)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000008854	2023-07-14
6184-Schistosoma-bovis	6184	Schistosoma bovis	6184	other-eukaryote	Reference	UP000290809		Schistosoma bovis (Blood fluke) (Strain: TAN1997)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000290809	2023-07-14
6185-Schistosoma-haematobium	6185	Schistosoma haematobium	6185	other-eukaryote	Representative	UP000471633	6185	Schistosoma haematobium	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000471633	2023-09-01
6192-Fasciola-hepatica-liver-fluke	6192	Fasciola hepatica (liver fluke)	6192	other-eukaryote	Reference	UP000230066		Fasciola hepatica (Liver fluke)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000230066	2023-07-14
6198-Opisthorchis-viverrini-Southeast-Asian-liver-fluke	6198	Opisthorchis viverrini (Southeast Asian liver fluke)	6198	other-eukaryote	Reference	UP000054324		Opisthorchis viverrini	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000054324	2023-07-14
6203-Taenia-ovis-sheep-tapeworm	6203	Taenia ovis (sheep tapeworm)	6203	other-eukaryote	Orphans		6203	Taenia ovis	https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6203	2023-09-01
6204-Taenia-solium-pig-tapeworm	6204	Taenia solium (pig tapeworm)	6204	other-eukaryote	Orphans		6204	Taenia solium	https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6204	2023-09-01
6206-Taenia-saginata-beef-tapeworm	6206	Taenia saginata (beef tapeworm)	6206	other-eukaryote	Orphans		6206	Taenia saginata	https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6206	2023-09-01
6207-Taenia-crassiceps	6207	Taenia crassiceps	6207, 10000802	other-eukaryote	Unreviewed	Unrev_6207		Taenia crassiceps	https://rest.uniprot.org/uniprotkb/search?query=taxonomy:6207	2023-07-14
6210-Echinococcus-granulosus	6210	Echinococcus granulosus	6210	other-eukaryote	Reference	UP000019149		Echinococcus granulosus (Hydatid tapeworm)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000019149	2023-07-14
6211-Echinococcus-multilocularis	6211	Echinococcus multilocularis	6211	other-eukaryote	Reference	UP000017246		Echinococcus multilocularis (Fox tapeworm) (Strain: Java)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000017246	2023-07-14
6213-Echinococcus-vogeli	6213	Echinococcus vogeli	6213	other-eukaryote					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6213	2023-09-01
6216-Hymenolepis-diminuta-rat-tapeworm	6216	Hymenolepis diminuta (rat tapeworm)	6216	other-eukaryote					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6216	2023-09-01
6238-Caenorhabditis-briggsae	6238	Caenorhabditis briggsae	6238	other-eukaryote	Reference	UP000008549		Caenorhabditis briggsae (Strain: AF16)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000008549	2023-07-14
6239-Caenorhabditis-elegans	6239	Caenorhabditis elegans	6239	other-eukaryote	Reference	UP000001940	6239	Caenorhabditis elegans (Strain: Bristol N2)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000001940	2023-07-14
6248-Strongyloides-stercoralis	6248	Strongyloides stercoralis	6248	other-eukaryote	Reference	UP000035681		Strongyloides stercoralis (Threadworm)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000035681	2023-07-14
6252-Ascaris-lumbricoides-common-roundworm	6252	Ascaris lumbricoides (common roundworm)	6252	other-eukaryote	Non-Redundant	UP000036681		Ascaris lumbricoides (common roundworm)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000036681	2023-07-14
6253-Ascaris-suum-pig-roundworm	6253	Ascaris suum (pig roundworm)	6253	other-eukaryote	Allergen	Allergen_6253	6253	Ascaris suum (pig roundworm)	https://rest.uniprot.org/uniprotkb/search?query=Q06811+OR+P46436	2023-07-14
6265-Toxocara-canis-dog-roundworm	6265	Toxocara canis (dog roundworm)	6265	other-eukaryote	Reference	UP000031036		Toxocara canis (Canine roundworm)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000031036	2023-07-14
6266-Toxocara-cati-feline-roundworm	6266	Toxocara cati (feline roundworm)	6266	other-eukaryote					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6266	2023-09-01
6269-Anisakis-simplex-herring-worm	6269	Anisakis simplex (herring worm)	6269	other-eukaryote	Reference	UP000267096		Anisakis simplex (Herring worm)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000267096	2023-07-14
6279-Brugia-malayi-agent-of-lymphatic-filariasis	6279	Brugia malayi (agent of lymphatic filariasis)	6279	other-eukaryote	Reference	UP000006672		Brugia malayi (Filarial nematode worm) (Strain: FR3)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000006672	2023-07-14
6280-Brugia-pahangi	6280	Brugia pahangi	6280	other-eukaryote					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6280	2023-09-01
6282-Onchocerca-volvulus	6282	Onchocerca volvulus	6282	other-eukaryote	Reference	UP000024404		Onchocerca volvulus	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000024404	2023-07-14
6287-Dirofilaria-immitis-canine-heartworm-nematode	6287	Dirofilaria immitis (canine heartworm nematode)	6287	other-eukaryote					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6287	2023-09-01
6289-Haemonchus-contortus-red-stomach-worm	6289	Haemonchus contortus (red stomach worm)	6289	other-eukaryote	Non-Redundant	UP000025227	6289	Haemonchus contortus (Barber pole worm) (Strain: ISE/inbred ISE)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000025227	2023-07-14
6293-Wuchereria-bancrofti-agent-of-lymphatic-filariasis	6293	Wuchereria bancrofti (agent of lymphatic filariasis)	6293	other-eukaryote	Reference	UP000270924		Wuchereria bancrofti	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000270924	2023-07-14
6299-Litomosoides-carinii	6299	Litomosoides carinii	6299	other-eukaryote	Orphans		6299	Litomosoides carinii	https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6299	2023-09-01
6313-Angiostrongylus-cantonensis-rat-lungworm	6313	Angiostrongylus cantonensis (rat lungworm)	6313	other-eukaryote	Reference	UP000035642	6313	Angiostrongylus cantonensis (Rat lungworm)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000035642	2023-07-14
6317-Ostertagia-ostertagi	6317	Ostertagia ostertagi	6317	other-eukaryote					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6317	2023-09-01
6319-Trichostrongylus-colubriformis	6319	Trichostrongylus colubriformis	6319	other-eukaryote					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6319	2023-09-01
6334-Trichinella-spiralis	6334	Trichinella spiralis	6334	other-eukaryote	Reference	UP000054776		Trichinella spiralis (Trichina worm)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000054776	2023-07-14
6339-Heligmosomoides-polygyrus	6339	Heligmosomoides polygyrus	6339	other-eukaryote	Non-Redundant	UP000050761		Heligmosomoides polygyrus (Parasitic roundworm)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000050761	2023-07-14
6421-Hirudo-medicinalis-medicinal-leech	6421	Hirudo medicinalis (medicinal leech)	6421	other-eukaryote	Orphans		6421	Hirudo medicinalis	https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6421	2023-09-01
6454-Haliotis-rufescens-California-red-abalone	6454	Haliotis rufescens (California red abalone)	6454	other-eukaryote	Orphans		6454	Haliotis rufescens	https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6454	2023-09-01
6491-Conus-geographus-geography-cone	6491	Conus geographus (geography cone)	6491	other-eukaryote	Orphans		6491	Conus geographus	https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6491	2023-09-01
6492-Conus-magus-magus-cone	6492	Conus magus (magus cone)	6492	other-eukaryote	Orphans		6492	Conus magus	https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6492	2023-09-01
6493-Conus-striatus-striated-cone	6493	Conus striatus (striated cone)	6493	other-eukaryote	Orphans		6493	Conus striatus	https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6493	2023-09-01
6495-Conus-tulipa-fish-hunting-cone-snail	6495	Conus tulipa (fish-hunting cone snail)	6495	other-eukaryote	Orphans		6495	Conus tulipa	https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6495	2023-09-01
6523-Lymnaea-stagnalis-great-pond-snail	6523	Lymnaea stagnalis (great pond snail)	6523	other-eukaryote					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6523	2023-09-01
6526-Biomphalaria-glabrata-bloodfluke-planorb	6526	Biomphalaria glabrata (bloodfluke planorb)	6526	other-eukaryote					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6526	2023-09-01
6536-Helix-pomatia-edible-snail	6536	Helix pomatia (edible snail)	6536	other-eukaryote					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6536	2023-09-01
6594-Macrocallista-nimbosa-sun-ray-clam	6594	Macrocallista nimbosa (sun-ray clam)	6594	other-eukaryote					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6594	2023-09-01
6661-Artemia-franciscana	6661	Artemia franciscana	6661	other-eukaryote	Allergen	Allergen_6661		Artemia franciscana	https://rest.uniprot.org/uniprotkb/search?query=A7L499	2023-07-14
6687-Penaeus-monodon-giant-tiger-prawn	6687	Penaeus monodon (giant tiger prawn)	6687	other-eukaryote	Allergen	Allergen_6687	6687	Penaeus monodon (black tiger shrimp)	https://rest.uniprot.org/uniprotkb/search?query=Q8I9P7+OR+E7CGC5+OR+A1KYZ2+OR+Q1KS35+OR+G1AP69+OR+E1A683+OR+F8QN77+OR+E7CGC4	2023-07-14
6689-Penaeus-vannamei-white-Pacific-shrimp	6689	Penaeus vannamei (white Pacific shrimp)	6689	other-eukaryote	Reference	UP000283509	6689	Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000283509	2023-07-14
6690-Penaeus-aztecus-brown-shrimp	6690	Penaeus aztecus (brown shrimp)	6690	other-eukaryote	Allergen	Allergen_6690		Penaeus aztecus (brown shrimp)	https://rest.uniprot.org/uniprotkb/search?query=Q3Y8M6	2023-07-14
6706-Homarus-americanus-American-lobster	6706	Homarus americanus (American lobster)	6706	other-eukaryote					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6706	2023-09-01
6728-Procambarus-clarkii-red-swamp-crayfish	6728	Procambarus clarkii (red swamp crayfish)	6728	other-eukaryote	Allergen	Allergen_6728	6728	Procambarus clarkii (red swamp crayfish)	https://rest.uniprot.org/uniprotkb/search?query=J7HCX7+OR+C0LU07+OR+F5A6E9+OR+H6VGI2	2023-07-14
6761-Scylla-serrata-Indo-Pacific-swamp-crab	6761	Scylla serrata (Indo-Pacific swamp crab)	6761	other-eukaryote	Orphans		6761	Scylla serrata	https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6761	2023-09-01
6819-Euphausia-superba	6819	Euphausia superba	6819	other-eukaryote	Orphans		6819	Euphausia superba	https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6819	2023-09-01
6850-Limulus-polyphemus-Atlantic-horseshoe-crab	6850	Limulus polyphemus (Atlantic horseshoe crab)	6850	other-eukaryote	Orphans		6850	Limulus polyphemus	https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6850	2023-09-01
6853-Tachypleus-tridentatus-Chinese-horseshoe-crab	6853	Tachypleus tridentatus (Chinese horseshoe crab)	6853	other-eukaryote	Orphans		6853	Tachypleus tridentatus	https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6853	2023-09-01
6858-Androctonus-australis-Sahara-scorpion	6858	Androctonus australis (Sahara scorpion)	6858, 70175	other-eukaryote	Orphans		6858	Androctonus australis	https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6858	2023-09-01
6859-Androctonus-mauritanicus	6859	Androctonus mauritanicus	6860	other-eukaryote	Orphans		6859	Androctonus mauritanicus mauritanicus	https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6859	2023-09-01
6868-Buthus-occitanus-common-European-scorpion	6868	Buthus occitanus (common European scorpion)	6871	other-eukaryote					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6868	2023-09-01
6876-Centruroides-limpidus-Mexican-scorpion	6876	Centruroides limpidus (Mexican scorpion)	6876, 29941	other-eukaryote					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6876	2023-09-01
6878-Centruroides-noxius-Mexican-scorpion	6878	Centruroides noxius (Mexican scorpion)	6878	other-eukaryote	Orphans		6878	Centruroides noxius	https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6878	2023-09-01
6880-Centruroides-suffusus-Mexican-scorpion	6880	Centruroides suffusus (Mexican scorpion)	6881	other-eukaryote					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6880	2023-09-01
6883-Leiurus-quinquestriatus-yellow-scorpion	6883	Leiurus quinquestriatus (yellow scorpion)	6885	other-eukaryote					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6883	2023-09-01
6887-Tityus-serrulatus-Brazilian-scorpion	6887	Tityus serrulatus (Brazilian scorpion)	6887	other-eukaryote	Orphans		6887	Tityus serrulatus	https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6887	2023-09-01
6918-Phoneutria-nigriventer-Brazilian-armed-spider	6918	Phoneutria nigriventer (Brazilian armed spider)	6918	other-eukaryote					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6918	2023-09-01
6925-Latrodectus-tredecimguttatus-black-widow-spider	6925	Latrodectus tredecimguttatus (black widow spider)	6925	other-eukaryote	Orphans		6925	Latrodectus tredecimguttatus	https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6925	2023-09-01
6938-Ornithodoros-moubata	6938	Ornithodoros moubata	6938	other-eukaryote	Orphans		6938	Ornithodoros moubata	https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:6938	2023-09-01
6941-Rhipicephalus-microplus-cattle-tick	6941	Rhipicephalus microplus (cattle tick)	6941	other-eukaryote	Other	UP000821866	6941	Rhipicephalus microplus	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000821866	2023-09-01
6945-Ixodes-scapularis-blacklegged-tick	6945	Ixodes scapularis (blacklegged tick)	6945	other-eukaryote	Reference	UP000001555	6945	Ixodes scapularis (Black-legged tick) (Deer tick) (Strain: Wikel)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000001555	2023-07-14
6954-Dermatophagoides-farinae-American-house-dust-mite	6954	Dermatophagoides farinae (American house dust mite)	6954	other-eukaryote	Non-Redundant	UP000463959		Dermatophagoides farinae (American house dust mite)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000463959	2023-07-14
6956-Dermatophagoides-pteronyssinus-European-house-dust-mite	6956	Dermatophagoides pteronyssinus (European house dust mite)	6956	other-eukaryote	Reference	UP000515146	6956	Dermatophagoides pteronyssinus (European house dust mite) (Strain: airmid)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000515146	2023-07-14
6958-Euroglyphus-maynei	6958	Euroglyphus maynei	6958	other-eukaryote	Reference	UP000194236		Euroglyphus maynei (Mayne's house dust mite)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000194236	2023-07-14
6973-Blattella-germanica-German-cockroach	6973	Blattella germanica (German cockroach)	6973	other-eukaryote	Reference	UP000245037		Blattella germanica (German cockroach) (Blatta germanica) (Strain: American Cyanamid \ Orlando Normal)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000245037	2023-07-14
6978-Periplaneta-americana-American-cockroach	6978	Periplaneta americana (American cockroach)	6978	other-eukaryote	Allergen	Allergen_6978	6978	Periplaneta americana (American cockroach)	https://rest.uniprot.org/uniprotkb/search?query=Q1M0Y3+OR+Q25640+OR+O18530+OR+O18528+OR+Q25641+OR+Q25639+OR+O18527+OR+Q94643+OR+Q1M0Y5+OR+H6WP59+OR+Q1M0X9+OR+Q9TZR6+OR+E7BQV5+OR+O18535	2023-07-14
7004-Locusta-migratoria-migratory-locust	7004	Locusta migratoria (migratory locust)	7004	other-eukaryote	Orphans		7004	Locusta migratoria	https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:7004	2023-09-01
7091-Bombyx-mori-silk-moth	7091	Bombyx mori (silk moth)	7091	other-eukaryote					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:7091	2023-09-01
7108-Spodoptera-frugiperda-fall-armyworm	7108	Spodoptera frugiperda (fall armyworm)	7108	other-eukaryote	Orphans		7108	Spodoptera frugiperda	https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:7108	2023-09-01
7130-Manduca-sexta-Carolina-sphinx	7130	Manduca sexta (Carolina sphinx)	7130	other-eukaryote	Representative	UP000791440	7130	Manduca sexta	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000791440	2023-09-01
7137-Galleria-mellonella-greater-wax-moth	7137	Galleria mellonella (greater wax moth)	7137	other-eukaryote	Representative	UP000504614	7137	Galleria mellonella	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000504614	2023-09-01
7154-Chironomus-thummi-midge	7154	Chironomus thummi (midge)	7154, 7155	other-eukaryote	Allergen	Allergen_7154	7154	Chironomus thummi (midge)	https://rest.uniprot.org/uniprotkb/search?query=P02226+OR+P02230+OR+P02227+OR+P02224+OR+P02221+OR+P12548+OR+P84298+OR+P02228+OR+P02229+OR+P02221+OR+P02223+OR+P02222+OR+P12549+OR+P02231+OR+P12550+OR+P84296	2023-07-14
7159-Aedes-aegypti-yellow-fever-mosquito	7159	Aedes aegypti (yellow fever mosquito)	7159	other-eukaryote					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:7159	2023-09-01
7160-Aedes-albopictus-forest-day-mosquito	7160	Aedes albopictus (forest day mosquito)	7160	other-eukaryote	Reference	UP000249989	7160	Aedes albopictus (Asian tiger mosquito) (Stegomyia albopicta)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000249989	2023-07-14
7165-Anopheles-gambiae-African-malaria-mosquito	7165	Anopheles gambiae (African malaria mosquito)	7165, 180454	other-eukaryote	Reference	UP000007062		Anopheles gambiae (African malaria mosquito) (Strain: PEST)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000007062	2023-07-14
7200-Lutzomyia-longipalpis	7200	Lutzomyia longipalpis	7200	other-eukaryote					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:7200	2023-09-01
7227-Drosophila-melanogaster-fruit-fly	7227	Drosophila melanogaster (fruit fly)	7227	other-eukaryote	Reference	UP000000803		Drosophila melanogaster (Fruit fly) (Strain: Berkeley)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000000803	2023-07-14
7234-Drosophila-persimilis	7234	Drosophila persimilis	7234	other-eukaryote	Reference	UP000008744		Drosophila persimilis (Fruit fly) (Strain: MSH-3 / Tucson 14011-0111.49)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000008744	2023-07-14
7237-Drosophila-pseudoobscura	7237	Drosophila pseudoobscura	46245	other-eukaryote	Reference	UP000001819		Drosophila pseudoobscura pseudoobscura (Fruit fly) (Strain: MV2-25 / Tucson 14011-0121.94)	https://rest.uniprot.org/uniprotkb/search?query=proteome:UP000001819	2023-07-14
7266-Drosophila-guanche	7266	Drosophila guanche	7266	other-eukaryote					https://rest.uniprot.org/uniprotkb/search?query=taxonomy_id:7266	2023-09-01
